Timestamp,x,y,r,g,b
0,83.62857,234.24144,255.0,0.0,0.0
40,80.73333,231.37141,255.0,0.0,0.0
80,77.8381,228.50137,255.0,0.0,0.0
120,74.942856,225.63135,255.0,0.0,0.0
160,72.04762,222.7613,255.0,0.0,0.0
200,69.15238,219.89127,255.0,0.0,0.0
240,66.25714,217.02124,255.0,0.0,0.0
280,63.361904,214.1512,255.0,0.0,0.0
320,60.466667,211.28116,255.0,0.0,0.0
360,57.57143,208.41113,255.0,0.0,0.0
400,54.67619,205.54109,255.0,0.0,0.0
440,51.780952,202.67105,255.0,0.0,0.0
480,48.885715,199.80103,255.0,0.0,0.0
520,45.990475,196.93098,255.0,0.0,0.0
560,43.095238,194.06094,255.0,0.0,0.0
600,40.2,191.19092,255.0,0.0,0.0
640,37.304764,188.32088,255.0,0.0,0.0
680,34.409523,185.45084,255.0,0.0,0.0
720,31.514286,182.58081,255.0,0.0,0.0
760,28.619047,179.71077,255.0,0.0,0.0
800,25.72381,176.84074,255.0,0.0,0.0
840,22.828571,173.9707,255.0,0.0,0.0
880,19.933332,171.10066,255.0,0.0,0.0
920,17.038095,168.23064,255.0,0.0,0.0
960,14.142858,165.3606,0.0,0.0,255.0
1000,11.247619,162.49055,0.0,0.0,255.0
1040,8.352381,159.62053,0.0,0.0,255.0
1080,11.247619,156.75049,0.0,0.0,255.0
1120,14.142858,153.88045,0.0,0.0,255.0
1160,17.038095,151.01042,0.0,0.0,255.0
1200,19.933332,148.14038,0.0,0.0,255.0
1240,22.828571,145.27034,0.0,0.0,255.0
1280,25.72381,142.40031,0.0,0.0,255.0
1320,28.619047,139.53027,0.0,0.0,255.0
1360,31.514286,136.66023,0.0,0.0,255.0
1400,34.409523,133.7902,0.0,0.0,255.0
1440,37.304764,130.92017,0.0,0.0,255.0
1480,40.2,128.05013,0.0,0.0,255.0
1520,43.095238,125.1801,0.0,0.0,255.0
1560,45.990475,122.31006,0.0,255.0,0.0
1600,48.885715,119.440025,0.0,255.0,0.0
1640,51.780952,116.56999,0.0,255.0,0.0
1680,54.67619,113.69995,0.0,255.0,0.0
1720,57.57143,110.82992,0.0,255.0,0.0
1760,60.466667,107.959885,0.0,255.0,0.0
1800,63.361904,105.08985,0.0,255.0,0.0
1840,66.25714,102.21981,0.0,255.0,0.0
1880,69.15238,99.34978,0.0,255.0,0.0
1920,72.04762,96.479744,0.0,255.0,0.0
1960,74.942856,93.6097,0.0,255.0,0.0
2000,77.8381,90.73967,0.0,255.0,0.0
2040,80.73333,87.86964,0.0,255.0,0.0
2080,83.62857,84.9996,0.0,255.0,0.0
2120,86.52381,82.12956,0.0,255.0,0.0
2160,89.419044,79.25953,0.0,255.0,0.0
2200,92.314285,76.389496,0.0,255.0,0.0
2240,95.209526,73.519455,0.0,255.0,0.0
2280,98.10476,70.64942,0.0,255.0,0.0
2320,101.0,67.77939,0.0,255.0,0.0
2360,103.89524,64.90935,0.0,255.0,0.0
2400,106.790474,62.039314,0.0,255.0,0.0
2440,109.685715,59.16928,0.0,255.0,0.0
2480,112.580956,56.299244,0.0,255.0,0.0
2520,115.47619,53.429207,0.0,255.0,0.0
2560,118.37143,50.559174,0.0,255.0,0.0
2600,121.26667,47.689137,0.0,255.0,0.0
2640,124.1619,44.819103,0.0,255.0,0.0
2680,127.057144,41.949066,0.0,255.0,0.0
2720,129.95238,39.079033,0.0,255.0,0.0
2760,132.84763,36.208996,0.0,255.0,0.0
2800,135.74286,33.33896,0.0,255.0,0.0
2840,138.63809,30.468924,0.0,255.0,0.0
2880,141.53334,27.598888,0.0,255.0,0.0
2920,144.42857,24.728853,0.0,255.0,0.0
2960,147.3238,21.858818,0.0,255.0,0.0
3000,150.21906,18.988783,255.0,0.0,0.0
3040,153.11429,16.118748,255.0,0.0,0.0
3080,156.00952,13.248712,255.0,0.0,0.0
3120,158.90475,10.378675,255.0,0.0,0.0
3160,161.8,7.5086403,255.0,0.0,0.0
3200,164.69524,10.378675,255.0,0.0,0.0
3240,167.59047,13.248712,255.0,0.0,0.0
3280,170.48572,16.118748,255.0,0.0,0.0
3320,173.38095,18.988783,255.0,0.0,0.0
