Timestamp,x,y,r,g,b
0,61.514286,198.82558,0.0,255.0,0.0
40,58.61905,195.78404,0.0,255.0,0.0
80,55.72381,192.74251,0.0,255.0,0.0
120,52.82857,189.70097,0.0,255.0,0.0
160,49.933334,186.65944,0.0,255.0,0.0
200,47.038094,183.6179,0.0,255.0,0.0
240,44.142857,180.57637,0.0,255.0,0.0
280,41.24762,177.53484,0.0,255.0,0.0
320,38.352383,174.49332,0.0,255.0,0.0
360,35.45714,171.45178,0.0,255.0,0.0
400,32.561905,168.41025,0.0,255.0,0.0
440,29.666666,165.36871,0.0,255.0,0.0
480,26.77143,162.32718,0.0,255.0,0.0
520,23.87619,159.28564,0.0,255.0,0.0
560,20.980953,156.24411,0.0,255.0,0.0
600,18.085714,153.20258,0.0,255.0,0.0
640,15.190476,150.16104,0.0,255.0,0.0
680,12.2952385,147.1195,0.0,255.0,0.0
720,9.4,144.07797,255.0,0.0,0.0
760,12.2952385,141.03644,255.0,0.0,0.0
800,15.190476,137.9949,255.0,0.0,0.0
840,18.085714,134.95337,255.0,0.0,0.0
880,20.980953,131.91183,255.0,0.0,0.0
920,23.87619,128.8703,255.0,0.0,0.0
960,26.77143,125.828766,255.0,0.0,0.0
1000,29.666666,122.78723,255.0,0.0,0.0
1040,32.561905,119.7457,255.0,0.0,0.0
1080,35.45714,116.70416,255.0,0.0,0.0
1120,38.352383,113.662636,255.0,0.0,0.0
1160,41.24762,110.6211,255.0,0.0,0.0
1200,44.142857,107.57957,255.0,0.0,0.0
1240,47.038094,104.53803,255.0,0.0,0.0
1280,49.933334,101.4965,255.0,0.0,0.0
1320,52.82857,98.45496,255.0,0.0,0.0
1360,55.72381,95.41343,255.0,0.0,0.0
1400,58.61905,92.371895,255.0,0.0,0.0
1440,61.514286,89.33036,255.0,0.0,0.0
1480,64.40952,86.288826,255.0,0.0,0.0
1520,67.30476,83.24729,255.0,0.0,0.0
1560,70.2,80.20576,255.0,0.0,0.0
1600,73.09524,77.16422,255.0,0.0,0.0
1640,75.99048,74.122696,255.0,0.0,0.0
1680,78.88571,71.08116,255.0,0.0,0.0
1720,81.78095,68.03963,255.0,0.0,0.0
1760,84.67619,64.99809,255.0,0.0,0.0
1800,87.57143,61.95656,255.0,0.0,0.0
1840,90.46667,58.915024,0.0,0.0,255.0
1880,93.36191,55.87349,0.0,0.0,255.0
1920,96.25714,52.831955,0.0,0.0,255.0
1960,99.15238,49.79042,0.0,0.0,255.0
2000,102.04762,46.74889,0.0,0.0,255.0
2040,104.942856,43.707355,0.0,0.0,255.0
2080,107.8381,40.66582,0.0,0.0,255.0
2120,110.73333,37.624287,0.0,0.0,255.0
2160,113.62857,34.582752,0.0,0.0,255.0
2200,116.52381,31.54122,0.0,0.0,255.0
2240,119.419044,28.499685,0.0,0.0,255.0
2280,122.314285,25.45815,0.0,0.0,255.0
2320,125.209526,22.416618,0.0,0.0,255.0
2360,128.10477,19.375084,0.0,0.0,255.0
2400,131.0,16.33355,0.0,0.0,255.0
2440,133.89523,13.292016,0.0,0.0,255.0
2480,136.79048,10.250483,0.0,0.0,255.0
2520,139.68571,7.208948,0.0,255.0,0.0
2560,142.58095,10.250483,0.0,255.0,0.0
2600,145.4762,13.292016,0.0,255.0,0.0
2640,148.37143,16.33355,0.0,255.0,0.0
2680,151.26666,19.375084,0.0,255.0,0.0
2720,154.16191,22.416618,0.0,255.0,0.0
2760,157.05714,25.45815,0.0,255.0,0.0
2800,159.95238,28.499685,0.0,255.0,0.0
2840,162.84763,31.54122,0.0,255.0,0.0
2880,165.74286,34.582752,0.0,255.0,0.0
2920,168.63809,37.624287,0.0,255.0,0.0
2960,171.53334,40.66582,0.0,255.0,0.0
3000,174.42857,43.707355,0.0,255.0,0.0
3040,177.3238,46.74889,0.0,255.0,0.0
3080,180.21906,49.79042,0.0,255.0,0.0
3120,183.11429,52.831955,0.0,255.0,0.0
3160,186.00952,55.87349,0.0,255.0,0.0
3200,188.90475,58.915024,0.0,255.0,0.0
3240,191.8,61.95656,0.0,255.0,0.0
3280,194.69524,64.99809,0.0,255.0,0.0
3320,197.59047,68.03963,255.0,0.0,0.0
3360,200.48572,71.08116,255.0,0.0,0.0
3400,203.38095,74.122696,255.0,0.0,0.0
3440,206.27618,77.16422,255.0,0.0,0.0
3480,209.17143,80.20576,255.0,0.0,0.0
3520,212.06667,83.24729,255.0,0.0,0.0
3560,214.9619,86.288826,255.0,0.0,0.0
3600,217.85715,89.33036,255.0,0.0,0.0
3640,220.75238,92.371895,255.0,0.0,0.0
3680,223.64761,95.41343,255.0,0.0,0.0
3720,226.54286,98.45496,255.0,0.0,0.0
3760,229.4381,101.4965,255.0,0.0,0.0
3800,232.33333,104.53803,255.0,0.0,0.0
3840,235.22858,107.57957,255.0,0.0,0.0
3880,238.12381,110.6211,255.0,0.0,0.0
3920,241.01904,113.662636,0.0,0.0,255.0
3960,243.91429,116.70416,0.0,0.0,255.0
4000,246.80952,119.7457,0.0,0.0,255.0
4040,243.91429,122.78723,0.0,0.0,255.0
4080,241.01904,125.828766,0.0,0.0,255.0
4120,238.12381,128.8703,0.0,0.0,255.0
4160,235.22858,131.91183,0.0,0.0,255.0
4200,232.33333,134.95337,0.0,0.0,255.0
4240,229.4381,137.9949,0.0,0.0,255.0
4280,226.54286,141.03644,0.0,0.0,255.0
4320,223.64761,144.07797,0.0,0.0,255.0
4360,220.75238,147.1195,0.0,0.0,255.0
4400,217.85715,150.16104,0.0,0.0,255.0
4440,214.9619,153.20258,0.0,0.0,255.0
4480,212.06667,156.24411,0.0,0.0,255.0
4520,209.17143,159.28564,0.0,255.0,0.0
4560,206.27618,162.32718,0.0,255.0,0.0
4600,203.38095,165.36871,0.0,255.0,0.0
4640,200.48572,168.41025,0.0,255.0,0.0
4680,197.59047,171.45178,0.0,255.0,0.0
4720,194.69524,174.49332,0.0,255.0,0.0
4760,191.8,177.53484,0.0,255.0,0.0
4800,188.90475,180.57637,0.0,255.0,0.0
4840,186.00952,183.6179,0.0,255.0,0.0
4880,183.11429,186.65944,0.0,255.0,0.0
4920,180.21906,189.70097,0.0,255.0,0.0
4960,177.3238,192.74251,0.0,255.0,0.0
5000,174.42857,195.78404,0.0,255.0,0.0
5040,171.53334,198.82558,0.0,255.0,0.0
5080,168.63809,201.86711,0.0,255.0,0.0
5120,165.74286,204.90865,0.0,255.0,0.0
5160,162.84763,207.95018,0.0,255.0,0.0
5200,159.95238,210.99171,0.0,255.0,0.0
5240,157.05714,214.03325,0.0,255.0,0.0
5280,154.16191,217.07478,0.0,255.0,0.0
5320,151.26666,220.11632,0.0,255.0,0.0
5360,148.37143,223.15785,0.0,255.0,0.0
5400,145.4762,226.19939,0.0,255.0,0.0
5440,142.58095,229.24092,0.0,255.0,0.0
5480,139.68571,232.28246,0.0,255.0,0.0
5520,136.79048,235.32399,0.0,255.0,0.0
5560,133.89523,238.36552,0.0,255.0,0.0
5600,131.0,241.40706,0.0,255.0,0.0
5640,128.10477,244.4486,0.0,255.0,0.0
5680,125.209526,247.49013,0.0,255.0,0.0
5720,122.314285,244.4486,0.0,255.0,0.0
5760,119.419044,241.40706,0.0,255.0,0.0
5800,116.52381,238.36552,0.0,255.0,0.0
5840,113.62857,235.32399,0.0,255.0,0.0
