Timestamp,x,y,r,g,b
0,177.74286,132.24895,255.0,0.0,0.0
40,180.63809,129.48248,255.0,0.0,0.0
80,183.53334,126.71603,255.0,0.0,0.0
120,186.42857,123.94956,255.0,0.0,0.0
160,189.3238,121.1831,255.0,0.0,0.0
200,192.21906,118.41663,255.0,0.0,0.0
240,195.11429,115.65018,255.0,0.0,0.0
280,198.00952,112.88371,255.0,0.0,0.0
320,200.90475,110.11725,255.0,0.0,0.0
360,203.8,107.350784,255.0,0.0,0.0
400,206.69524,104.58432,255.0,0.0,0.0
440,209.59047,101.817856,255.0,0.0,0.0
480,212.48572,99.0514,255.0,0.0,0.0
520,215.38095,96.284935,255.0,0.0,0.0
560,218.27618,93.51847,255.0,0.0,0.0
600,221.17143,90.75201,255.0,0.0,0.0
640,224.06667,87.98554,255.0,0.0,0.0
680,226.9619,85.21908,255.0,0.0,0.0
720,229.85715,82.45262,255.0,0.0,0.0
760,232.75238,79.68616,255.0,0.0,0.0
800,235.64761,76.91969,255.0,0.0,0.0
840,238.54286,74.15323,255.0,0.0,0.0
880,241.4381,71.386765,255.0,0.0,0.0
920,244.33333,68.6203,255.0,0.0,0.0
960,247.22858,65.85384,0.0,0.0,255.0
1000,244.33333,63.08738,0.0,0.0,255.0
1040,241.4381,60.320915,0.0,0.0,255.0
1080,238.54286,57.55445,0.0,0.0,255.0
1120,235.64761,54.78799,0.0,0.0,255.0
1160,232.75238,52.021526,0.0,0.0,255.0
1200,229.85715,49.255062,0.0,0.0,255.0
1240,226.9619,46.4886,0.0,0.0,255.0
1280,224.06667,43.722137,0.0,0.0,255.0
1320,221.17143,40.955673,0.0,0.0,255.0
1360,218.27618,38.189213,0.0,0.0,255.0
1400,215.38095,35.42275,0.0,0.0,255.0
1440,212.48572,32.656284,0.0,0.0,255.0
1480,209.59047,29.889822,0.0,0.0,255.0
1520,206.69524,27.12336,0.0,0.0,255.0
1560,203.8,24.356897,0.0,0.0,255.0
1600,200.90475,21.590433,0.0,0.0,255.0
1640,198.00952,18.82397,0.0,0.0,255.0
1680,195.11429,16.057508,0.0,0.0,255.0
1720,192.21906,13.291045,0.0,0.0,255.0
1760,189.3238,10.524582,0.0,0.0,255.0
1800,186.42857,7.758119,0.0,255.0,0.0
1840,183.53334,10.524582,0.0,255.0,0.0
1880,180.63809,13.291045,0.0,255.0,0.0
1920,177.74286,16.057508,0.0,255.0,0.0
1960,174.84763,18.82397,255.0,0.0,0.0
2000,171.95238,21.590433,255.0,0.0,0.0
2040,169.05714,24.356897,255.0,0.0,0.0
2080,166.16191,27.12336,255.0,0.0,0.0
2120,163.26666,29.889822,255.0,0.0,0.0
2160,160.37143,32.656284,255.0,0.0,0.0
2200,157.4762,35.42275,255.0,0.0,0.0
2240,154.58095,38.189213,255.0,0.0,0.0
2280,151.68571,40.955673,255.0,0.0,0.0
2320,148.79048,43.722137,255.0,0.0,0.0
2360,145.89523,46.4886,255.0,0.0,0.0
2400,143.0,49.255062,255.0,0.0,0.0
2440,140.10477,52.021526,255.0,0.0,0.0
2480,137.20952,54.78799,255.0,0.0,0.0
2520,134.31429,57.55445,255.0,0.0,0.0
2560,131.41905,60.320915,255.0,0.0,0.0
2600,128.5238,63.08738,255.0,0.0,0.0
2640,125.62857,65.85384,255.0,0.0,0.0
2680,122.73333,68.6203,255.0,0.0,0.0
2720,119.8381,71.386765,255.0,0.0,0.0
2760,116.942856,74.15323,255.0,0.0,0.0
2800,114.04762,76.91969,255.0,0.0,0.0
2840,111.15238,79.68616,255.0,0.0,0.0
2880,108.25714,82.45262,255.0,0.0,0.0
2920,105.36191,85.21908,255.0,0.0,0.0
2960,102.46667,87.98554,255.0,0.0,0.0
3000,99.57143,90.75201,255.0,0.0,0.0
3040,96.67619,93.51847,255.0,0.0,0.0
3080,93.78095,96.284935,255.0,0.0,0.0
3120,90.88571,99.0514,255.0,0.0,0.0
3160,87.99048,101.817856,255.0,0.0,0.0
3200,85.09524,104.58432,255.0,0.0,0.0
3240,82.2,107.350784,255.0,0.0,0.0
3280,79.30476,110.11725,255.0,0.0,0.0
3320,76.40952,112.88371,255.0,0.0,0.0
3360,73.51428,115.65018,255.0,0.0,0.0
3400,70.61905,118.41663,255.0,0.0,0.0
3440,67.72381,121.1831,255.0,0.0,0.0
3480,64.828575,123.94956,255.0,0.0,0.0
3520,61.933334,126.71603,255.0,0.0,0.0
3560,59.038094,129.48248,255.0,0.0,0.0
3600,56.142857,132.24895,255.0,0.0,0.0
3640,53.24762,135.01541,255.0,0.0,0.0
3680,50.352383,137.78188,255.0,0.0,0.0
3720,47.45714,140.54834,255.0,0.0,0.0
3760,44.561905,143.3148,255.0,0.0,0.0
3800,41.666668,146.08127,255.0,0.0,0.0
3840,38.771427,148.84773,255.0,0.0,0.0
3880,35.87619,151.6142,255.0,0.0,0.0
3920,32.980953,154.38066,255.0,0.0,0.0
3960,30.085714,157.14713,255.0,0.0,0.0
4000,27.190475,159.91357,255.0,0.0,0.0
4040,24.295238,162.68004,255.0,0.0,0.0
4080,21.4,165.4465,255.0,0.0,0.0
4120,18.504763,168.21297,255.0,0.0,0.0
4160,15.609524,170.97943,255.0,0.0,0.0
4200,12.714286,173.7459,255.0,0.0,0.0
4240,9.819048,176.51236,0.0,0.0,255.0
4280,12.714286,179.27882,0.0,0.0,255.0
4320,15.609524,182.04529,0.0,0.0,255.0
4360,18.504763,184.81175,0.0,0.0,255.0
4400,21.4,187.57822,0.0,0.0,255.0
4440,24.295238,190.34468,0.0,0.0,255.0
4480,27.190475,193.11113,0.0,0.0,255.0
4520,30.085714,195.8776,0.0,0.0,255.0
4560,32.980953,198.64406,0.0,0.0,255.0
4600,35.87619,201.41052,0.0,0.0,255.0
4640,38.771427,204.17699,0.0,255.0,0.0
4680,41.666668,206.94345,0.0,255.0,0.0
4720,44.561905,209.70992,0.0,255.0,0.0
4760,47.45714,212.47638,0.0,255.0,0.0
4800,50.352383,215.24284,0.0,255.0,0.0
4840,53.24762,218.00931,0.0,255.0,0.0
4880,56.142857,220.77577,0.0,255.0,0.0
4920,59.038094,223.54224,0.0,255.0,0.0
4960,61.933334,226.30869,0.0,255.0,0.0
5000,64.828575,229.07515,0.0,255.0,0.0
5040,67.72381,231.84161,0.0,255.0,0.0
5080,70.61905,234.60808,0.0,255.0,0.0
5120,73.51428,237.37454,0.0,255.0,0.0
5160,76.40952,240.141,0.0,255.0,0.0
5200,79.30476,242.90747,0.0,255.0,0.0
5240,82.2,245.67393,0.0,255.0,0.0
5280,85.09524,248.4404,255.0,0.0,0.0
5320,87.99048,245.67393,255.0,0.0,0.0
5360,90.88571,242.90747,255.0,0.0,0.0
5400,93.78095,240.141,255.0,0.0,0.0
5440,96.67619,237.37454,255.0,0.0,0.0
5480,99.57143,234.60808,255.0,0.0,0.0
5520,102.46667,231.84161,255.0,0.0,0.0
5560,105.36191,229.07515,255.0,0.0,0.0
5600,108.25714,226.30869,255.0,0.0,0.0
5640,111.15238,223.54224,255.0,0.0,0.0
5680,114.04762,220.77577,255.0,0.0,0.0
5720,116.942856,218.00931,255.0,0.0,0.0
5760,119.8381,215.24284,255.0,0.0,0.0
5800,122.73333,212.47638,255.0,0.0,0.0
5840,125.62857,209.70992,255.0,0.0,0.0
5880,128.5238,206.94345,255.0,0.0,0.0
5920,131.41905,204.17699,255.0,0.0,0.0
5960,134.31429,201.41052,255.0,0.0,0.0
6000,137.20952,198.64406,255.0,0.0,0.0
6040,140.10477,195.8776,255.0,0.0,0.0
6080,143.0,193.11113,255.0,0.0,0.0
6120,145.89523,190.34468,255.0,0.0,0.0
6160,148.79048,187.57822,255.0,0.0,0.0
6200,151.68571,184.81175,255.0,0.0,0.0
6240,154.58095,182.04529,255.0,0.0,0.0
6280,157.4762,179.27882,255.0,0.0,0.0
6320,160.37143,176.51236,255.0,0.0,0.0
6360,163.26666,173.7459,255.0,0.0,0.0
6400,166.16191,170.97943,255.0,0.0,0.0
6440,169.05714,168.21297,255.0,0.0,0.0
6480,171.95238,165.4465,255.0,0.0,0.0
6520,174.84763,162.68004,255.0,0.0,0.0
6560,177.74286,159.91357,255.0,0.0,0.0
6600,180.63809,157.14713,255.0,0.0,0.0
6640,183.53334,154.38066,255.0,0.0,0.0
6680,186.42857,151.6142,255.0,0.0,0.0
6720,189.3238,148.84773,255.0,0.0,0.0
6760,192.21906,146.08127,255.0,0.0,0.0
6800,195.11429,143.3148,255.0,0.0,0.0
6840,198.00952,140.54834,255.0,0.0,0.0
6880,200.90475,137.78188,255.0,0.0,0.0
6920,203.8,135.01541,255.0,0.0,0.0
6960,206.69524,132.24895,255.0,0.0,0.0
7000,209.59047,129.48248,255.0,0.0,0.0
7040,212.48572,126.71603,255.0,0.0,0.0
7080,215.38095,123.94956,255.0,0.0,0.0
7120,218.27618,121.1831,255.0,0.0,0.0
7160,221.17143,118.41663,255.0,0.0,0.0
7200,224.06667,115.65018,255.0,0.0,0.0
7240,226.9619,112.88371,255.0,0.0,0.0
7280,229.85715,110.11725,255.0,0.0,0.0
7320,232.75238,107.350784,255.0,0.0,0.0
