Timestamp,x,y,r,g,b
0,177.74286,49.69361,0.0,255.0,0.0
40,180.63809,46.94289,0.0,255.0,0.0
80,183.53334,44.192165,0.0,255.0,0.0
120,186.42857,41.441444,0.0,255.0,0.0
160,189.3238,38.690723,0.0,255.0,0.0
200,192.21906,35.94,0.0,255.0,0.0
240,195.11429,33.189278,0.0,255.0,0.0
280,198.00952,30.438555,0.0,255.0,0.0
320,200.90475,27.687834,0.0,255.0,0.0
360,203.8,24.93711,0.0,255.0,0.0
400,206.69524,22.186388,0.0,255.0,0.0
440,209.59047,19.435667,0.0,255.0,0.0
480,212.48572,16.684944,0.0,255.0,0.0
520,215.38095,13.934222,0.0,255.0,0.0
560,218.27618,11.1835,0.0,255.0,0.0
600,221.17143,8.432777,0.0,255.0,0.0
640,224.06667,11.1835,0.0,255.0,0.0
680,226.9619,13.934222,0.0,255.0,0.0
720,229.85715,16.684944,0.0,255.0,0.0
760,232.75238,19.435667,0.0,255.0,0.0
800,235.64761,22.186388,0.0,255.0,0.0
840,238.54286,24.93711,0.0,255.0,0.0
880,241.4381,27.687834,0.0,255.0,0.0
920,244.33333,30.438555,0.0,255.0,0.0
960,247.22858,33.189278,0.0,255.0,0.0
1000,244.33333,35.94,255.0,0.0,0.0
1040,241.4381,38.690723,255.0,0.0,0.0
1080,238.54286,41.441444,255.0,0.0,0.0
1120,235.64761,44.192165,255.0,0.0,0.0
1160,232.75238,46.94289,255.0,0.0,0.0
1200,229.85715,49.69361,255.0,0.0,0.0
1240,226.9619,52.444332,255.0,0.0,0.0
1280,224.06667,55.195057,255.0,0.0,0.0
1320,221.17143,57.945778,255.0,0.0,0.0
1360,218.27618,60.6965,255.0,0.0,0.0
1400,215.38095,63.44722,255.0,0.0,0.0
1440,212.48572,66.197945,255.0,0.0,0.0
1480,209.59047,68.94867,255.0,0.0,0.0
1520,206.69524,71.69939,255.0,0.0,0.0
1560,203.8,74.45011,255.0,0.0,0.0
1600,200.90475,77.200836,255.0,0.0,0.0
1640,198.00952,79.95155,255.0,0.0,0.0
1680,195.11429,82.70228,255.0,0.0,0.0
1720,192.21906,85.453,255.0,0.0,0.0
1760,189.3238,88.20372,255.0,0.0,0.0
1800,186.42857,90.954445,255.0,0.0,0.0
