Timestamp,x,y,r,g,b
0,83.62857,217.36366,0.0,0.0,255.0
40,80.73333,220.32434,0.0,0.0,255.0
80,77.8381,223.28503,0.0,0.0,255.0
120,74.942856,226.24571,0.0,0.0,255.0
160,72.04762,229.20639,0.0,0.0,255.0
200,69.15238,232.16707,0.0,0.0,255.0
240,66.25714,235.12776,0.0,0.0,255.0
280,63.361904,238.08844,0.0,0.0,255.0
320,60.466667,241.04912,0.0,0.0,255.0
360,57.57143,244.0098,0.0,255.0,0.0
400,54.67619,246.97049,0.0,255.0,0.0
440,51.780952,244.0098,0.0,255.0,0.0
480,48.885715,241.04912,0.0,255.0,0.0
520,45.990475,238.08844,0.0,255.0,0.0
560,43.095238,235.12776,0.0,255.0,0.0
600,40.2,232.16707,0.0,255.0,0.0
640,37.304764,229.20639,0.0,255.0,0.0
680,34.409523,226.24571,0.0,255.0,0.0
720,31.514286,223.28503,0.0,255.0,0.0
760,28.619047,220.32434,0.0,255.0,0.0
800,25.72381,217.36366,0.0,255.0,0.0
840,22.828571,214.40298,0.0,255.0,0.0
880,19.933332,211.4423,0.0,255.0,0.0
920,17.038095,208.48161,0.0,255.0,0.0
960,14.142858,205.52094,0.0,255.0,0.0
1000,11.247619,202.56026,0.0,255.0,0.0
1040,8.352381,199.59958,0.0,255.0,0.0
1080,11.247619,196.63889,0.0,255.0,0.0
1120,14.142858,193.6782,255.0,0.0,0.0
1160,17.038095,190.71753,255.0,0.0,0.0
1200,19.933332,187.75685,255.0,0.0,0.0
1240,22.828571,184.79616,255.0,0.0,0.0
1280,25.72381,181.83548,255.0,0.0,0.0
1320,28.619047,178.8748,255.0,0.0,0.0
1360,31.514286,175.91412,255.0,0.0,0.0
1400,34.409523,172.95343,255.0,0.0,0.0
1440,37.304764,169.99275,255.0,0.0,0.0
1480,40.2,167.03207,255.0,0.0,0.0
1520,43.095238,164.0714,255.0,0.0,0.0
1560,45.990475,161.1107,255.0,0.0,0.0
1600,48.885715,158.15002,255.0,0.0,0.0
1640,51.780952,155.18935,255.0,0.0,0.0
1680,54.67619,152.22867,255.0,0.0,0.0
1720,57.57143,149.26797,255.0,0.0,0.0
1760,60.466667,146.3073,255.0,0.0,0.0
1800,63.361904,143.34662,255.0,0.0,0.0
1840,66.25714,140.38594,255.0,0.0,0.0
1880,69.15238,137.42525,255.0,0.0,0.0
1920,72.04762,134.46457,255.0,0.0,0.0
1960,74.942856,131.50389,255.0,0.0,0.0
2000,77.8381,128.54321,255.0,0.0,0.0
2040,80.73333,125.58253,255.0,0.0,0.0
2080,83.62857,122.62184,255.0,0.0,0.0
2120,86.52381,119.66116,255.0,0.0,0.0
2160,89.419044,116.70048,255.0,0.0,0.0
2200,92.314285,113.7398,255.0,0.0,0.0
2240,95.209526,110.77911,255.0,0.0,0.0
2280,98.10476,107.818436,255.0,0.0,0.0
2320,101.0,104.85775,255.0,0.0,0.0
2360,103.89524,101.89707,255.0,0.0,0.0
2400,106.790474,98.936386,255.0,0.0,0.0
2440,109.685715,95.97571,255.0,0.0,0.0
2480,112.580956,93.01502,255.0,0.0,0.0
2520,115.47619,90.054344,255.0,0.0,0.0
2560,118.37143,87.09366,255.0,0.0,0.0
2600,121.26667,84.13298,255.0,0.0,0.0
2640,124.1619,81.172295,255.0,0.0,0.0
2680,127.057144,78.21162,255.0,0.0,0.0
2720,129.95238,75.25093,255.0,0.0,0.0
2760,132.84763,72.29025,255.0,0.0,0.0
2800,135.74286,69.32957,255.0,0.0,0.0
2840,138.63809,66.36889,255.0,0.0,0.0
2880,141.53334,63.408207,255.0,0.0,0.0
2920,144.42857,60.447525,255.0,0.0,0.0
2960,147.3238,57.486843,255.0,0.0,0.0
3000,150.21906,54.52616,255.0,0.0,0.0
3040,153.11429,51.56548,255.0,0.0,0.0
3080,156.00952,48.604797,255.0,0.0,0.0
3120,158.90475,45.644115,255.0,0.0,0.0
3160,161.8,42.683434,255.0,0.0,0.0
3200,164.69524,39.72275,255.0,0.0,0.0
3240,167.59047,36.76207,255.0,0.0,0.0
3280,170.48572,33.801388,255.0,0.0,0.0
3320,173.38095,30.840706,255.0,0.0,0.0
3360,176.27618,27.880024,255.0,0.0,0.0
3400,179.17143,24.919342,255.0,0.0,0.0
3440,182.06667,21.95866,255.0,0.0,0.0
3480,184.9619,18.997978,255.0,0.0,0.0
3520,187.85715,16.037296,255.0,0.0,0.0
3560,190.75238,13.076613,255.0,0.0,0.0
3600,193.64761,10.1159315,255.0,0.0,0.0
3640,196.54286,7.1552496,255.0,0.0,0.0
3680,199.4381,10.1159315,255.0,0.0,0.0
3720,202.33333,13.076613,255.0,0.0,0.0
3760,205.22858,16.037296,255.0,0.0,0.0
3800,208.12381,18.997978,255.0,0.0,0.0
3840,211.01904,21.95866,255.0,0.0,0.0
3880,213.91429,24.919342,255.0,0.0,0.0
3920,216.80952,27.880024,255.0,0.0,0.0
3960,219.70476,30.840706,255.0,0.0,0.0
4000,222.6,33.801388,255.0,0.0,0.0
4040,225.49524,36.76207,255.0,0.0,0.0
4080,228.39047,39.72275,255.0,0.0,0.0
4120,231.28572,42.683434,255.0,0.0,0.0
4160,234.18095,45.644115,255.0,0.0,0.0
4200,237.07619,48.604797,255.0,0.0,0.0
4240,239.97144,51.56548,255.0,0.0,0.0
4280,242.86667,54.52616,255.0,0.0,0.0
4320,245.7619,57.486843,255.0,0.0,0.0
4360,248.65715,60.447525,255.0,0.0,0.0
4400,245.7619,63.408207,255.0,0.0,0.0
4440,242.86667,66.36889,0.0,0.0,255.0
4480,239.97144,69.32957,0.0,0.0,255.0
4520,237.07619,72.29025,0.0,0.0,255.0
4560,234.18095,75.25093,0.0,0.0,255.0
4600,231.28572,78.21162,0.0,0.0,255.0
4640,228.39047,81.172295,0.0,0.0,255.0
4680,225.49524,84.13298,0.0,0.0,255.0
4720,222.6,87.09366,0.0,0.0,255.0
4760,219.70476,90.054344,0.0,0.0,255.0
4800,216.80952,93.01502,0.0,0.0,255.0
4840,213.91429,95.97571,0.0,0.0,255.0
4880,211.01904,98.936386,0.0,0.0,255.0
4920,208.12381,101.89707,0.0,0.0,255.0
4960,205.22858,104.85775,0.0,0.0,255.0
5000,202.33333,107.818436,0.0,0.0,255.0
5040,199.4381,110.77911,0.0,0.0,255.0
5080,196.54286,113.7398,0.0,0.0,255.0
5120,193.64761,116.70048,0.0,0.0,255.0
5160,190.75238,119.66116,0.0,0.0,255.0
