Timestamp,x,y,r,g,b
0,205.64761,226.59761,255.0,0.0,0.0
40,208.54286,229.95952,255.0,0.0,0.0
80,211.4381,233.32143,255.0,0.0,0.0
120,214.33333,236.68333,255.0,0.0,0.0
160,217.22858,240.04524,255.0,0.0,0.0
200,220.12381,243.40714,255.0,0.0,0.0
240,223.01904,246.76904,255.0,0.0,0.0
280,225.91429,243.40714,255.0,0.0,0.0
320,228.80952,240.04524,255.0,0.0,0.0
360,231.70476,236.68333,255.0,0.0,0.0
400,234.6,233.32143,255.0,0.0,0.0
440,237.49524,229.95952,255.0,0.0,0.0
480,240.39047,226.59761,255.0,0.0,0.0
520,243.28572,223.23572,255.0,0.0,0.0
560,246.18095,219.87381,0.0,0.0,255.0
600,243.28572,216.5119,0.0,0.0,255.0
640,240.39047,213.15,0.0,0.0,255.0
680,237.49524,209.78809,0.0,0.0,255.0
720,234.6,206.4262,0.0,0.0,255.0
760,231.70476,203.06429,0.0,0.0,255.0
800,228.80952,199.70238,0.0,0.0,255.0
840,225.91429,196.34047,0.0,0.0,255.0
880,223.01904,192.97856,0.0,255.0,0.0
920,220.12381,189.61667,0.0,255.0,0.0
960,217.22858,186.25476,0.0,255.0,0.0
1000,214.33333,182.89285,0.0,255.0,0.0
1040,211.4381,179.53094,0.0,255.0,0.0
1080,208.54286,176.16905,0.0,255.0,0.0
1120,205.64761,172.80714,0.0,255.0,0.0
1160,202.75238,169.44524,0.0,255.0,0.0
1200,199.85715,166.08333,0.0,255.0,0.0
1240,196.9619,162.72142,0.0,255.0,0.0
1280,194.06667,159.35953,0.0,255.0,0.0
1320,191.17143,155.99762,0.0,255.0,0.0
1360,188.27618,152.63571,0.0,255.0,0.0
1400,185.38095,149.2738,0.0,255.0,0.0
1440,182.48572,145.9119,0.0,255.0,0.0
1480,179.59047,142.55,0.0,255.0,0.0
1520,176.69524,139.1881,0.0,255.0,0.0
1560,173.8,135.82619,0.0,255.0,0.0
1600,170.90475,132.46428,0.0,255.0,0.0
1640,168.00952,129.10239,0.0,255.0,0.0
1680,165.11429,125.74047,0.0,255.0,0.0
1720,162.21906,122.37857,0.0,255.0,0.0
1760,159.3238,119.01666,255.0,0.0,0.0
1800,156.42857,115.65476,255.0,0.0,0.0
1840,153.53334,112.292854,255.0,0.0,0.0
1880,150.63809,108.930954,255.0,0.0,0.0
1920,147.74286,105.569046,255.0,0.0,0.0
1960,144.84763,102.20714,255.0,0.0,0.0
2000,141.95238,98.84524,255.0,0.0,0.0
2040,139.05714,95.48333,255.0,0.0,0.0
2080,136.16191,92.12143,255.0,0.0,0.0
2120,133.26666,88.75952,255.0,0.0,0.0
2160,130.37143,85.39762,255.0,0.0,0.0
2200,127.47619,82.03571,255.0,0.0,0.0
2240,124.580956,78.673805,255.0,0.0,0.0
2280,121.685715,75.311905,255.0,0.0,0.0
2320,118.790474,71.95,255.0,0.0,0.0
2360,115.89524,68.5881,255.0,0.0,0.0
2400,113.0,65.22619,255.0,0.0,0.0
2440,110.10476,61.864285,255.0,0.0,0.0
2480,107.209526,58.50238,0.0,0.0,255.0
2520,104.314285,55.140476,0.0,0.0,255.0
2560,101.419044,51.778572,0.0,0.0,255.0
2600,98.52381,48.416668,0.0,0.0,255.0
2640,95.62857,45.05476,0.0,0.0,255.0
2680,92.73333,41.692856,0.0,0.0,255.0
2720,89.8381,38.33095,0.0,0.0,255.0
2760,86.942856,34.969048,0.0,0.0,255.0
2800,84.04762,31.607143,0.0,0.0,255.0
2840,81.15238,28.245237,0.0,0.0,255.0
2880,78.25714,24.883333,0.0,0.0,255.0
2920,75.36191,21.52143,0.0,0.0,255.0
2960,72.46667,18.159523,0.0,0.0,255.0
3000,69.57143,14.797619,0.0,0.0,255.0
3040,66.67619,11.435715,0.0,0.0,255.0
3080,63.780952,8.07381,0.0,255.0,0.0
3120,60.885715,11.435715,0.0,255.0,0.0
3160,57.990475,14.797619,0.0,255.0,0.0
3200,55.095238,18.159523,0.0,255.0,0.0
3240,52.2,21.52143,0.0,255.0,0.0
3280,49.304764,24.883333,0.0,255.0,0.0
3320,46.409523,28.245237,0.0,255.0,0.0
3360,43.514286,31.607143,0.0,255.0,0.0
3400,40.61905,34.969048,0.0,255.0,0.0
3440,37.72381,38.33095,0.0,255.0,0.0
3480,34.82857,41.692856,0.0,255.0,0.0
3520,31.933332,45.05476,0.0,255.0,0.0
3560,29.038095,48.416668,0.0,255.0,0.0
3600,26.142857,51.778572,0.0,255.0,0.0
3640,23.24762,55.140476,0.0,255.0,0.0
3680,20.35238,58.50238,0.0,255.0,0.0
3720,17.457144,61.864285,0.0,255.0,0.0
3760,14.561905,65.22619,0.0,255.0,0.0
3800,11.666667,68.5881,0.0,255.0,0.0
3840,8.771428,71.95,255.0,0.0,0.0
3880,11.666667,75.311905,255.0,0.0,0.0
3920,14.561905,78.673805,255.0,0.0,0.0
3960,17.457144,82.03571,0.0,0.0,255.0
4000,20.35238,85.39762,0.0,0.0,255.0
4040,23.24762,88.75952,0.0,0.0,255.0
4080,26.142857,92.12143,0.0,0.0,255.0
4120,29.038095,95.48333,0.0,0.0,255.0
4160,31.933332,98.84524,0.0,0.0,255.0
4200,34.82857,102.20714,0.0,0.0,255.0
4240,37.72381,105.569046,0.0,0.0,255.0
4280,40.61905,108.930954,0.0,0.0,255.0
4320,43.514286,112.292854,0.0,0.0,255.0
4360,46.409523,115.65476,0.0,0.0,255.0
4400,49.304764,119.01666,0.0,0.0,255.0
4440,52.2,122.37857,0.0,0.0,255.0
4480,55.095238,125.74047,0.0,0.0,255.0
4520,57.990475,129.10239,0.0,0.0,255.0
4560,60.885715,132.46428,0.0,0.0,255.0
4600,63.780952,135.82619,0.0,0.0,255.0
4640,66.67619,139.1881,0.0,0.0,255.0
4680,69.57143,142.55,0.0,0.0,255.0
4720,72.46667,145.9119,0.0,0.0,255.0
4760,75.36191,149.2738,0.0,0.0,255.0
4800,78.25714,152.63571,0.0,0.0,255.0
4840,81.15238,155.99762,0.0,0.0,255.0
4880,84.04762,159.35953,0.0,0.0,255.0
4920,86.942856,162.72142,0.0,0.0,255.0
4960,89.8381,166.08333,0.0,0.0,255.0
5000,92.73333,169.44524,0.0,255.0,0.0
5040,95.62857,172.80714,0.0,255.0,0.0
5080,98.52381,176.16905,0.0,255.0,0.0
5120,101.419044,179.53094,0.0,255.0,0.0
5160,104.314285,182.89285,0.0,255.0,0.0
5200,107.209526,186.25476,0.0,255.0,0.0
5240,110.10476,189.61667,0.0,255.0,0.0
5280,113.0,192.97856,0.0,255.0,0.0
5320,115.89524,196.34047,0.0,255.0,0.0
5360,118.790474,199.70238,0.0,255.0,0.0
5400,121.685715,203.06429,0.0,255.0,0.0
5440,124.580956,206.4262,0.0,255.0,0.0
5480,127.47619,209.78809,0.0,255.0,0.0
5520,130.37143,213.15,0.0,255.0,0.0
5560,133.26666,216.5119,0.0,255.0,0.0
5600,136.16191,219.87381,0.0,255.0,0.0
5640,139.05714,223.23572,0.0,255.0,0.0
5680,141.95238,226.59761,0.0,255.0,0.0
5720,144.84763,229.95952,0.0,255.0,0.0
5760,147.74286,233.32143,0.0,255.0,0.0
5800,150.63809,236.68333,0.0,255.0,0.0
5840,153.53334,240.04524,0.0,255.0,0.0
5880,156.42857,243.40714,0.0,255.0,0.0
5920,159.3238,246.76904,255.0,0.0,0.0
5960,162.21906,243.40714,255.0,0.0,0.0
6000,165.11429,240.04524,255.0,0.0,0.0
6040,168.00952,236.68333,255.0,0.0,0.0
6080,170.90475,233.32143,255.0,0.0,0.0
6120,173.8,229.95952,255.0,0.0,0.0
6160,176.69524,226.59761,255.0,0.0,0.0
6200,179.59047,223.23572,255.0,0.0,0.0
6240,182.48572,219.87381,255.0,0.0,0.0
6280,185.38095,216.5119,255.0,0.0,0.0
6320,188.27618,213.15,255.0,0.0,0.0
6360,191.17143,209.78809,255.0,0.0,0.0
6400,194.06667,206.4262,255.0,0.0,0.0
6440,196.9619,203.06429,255.0,0.0,0.0
6480,199.85715,199.70238,255.0,0.0,0.0
6520,202.75238,196.34047,0.0,0.0,255.0
6560,205.64761,192.97856,0.0,0.0,255.0
6600,208.54286,189.61667,0.0,0.0,255.0
6640,211.4381,186.25476,0.0,0.0,255.0
6680,214.33333,182.89285,0.0,0.0,255.0
6720,217.22858,179.53094,0.0,0.0,255.0
6760,220.12381,176.16905,0.0,0.0,255.0
6800,223.01904,172.80714,0.0,0.0,255.0
6840,225.91429,169.44524,0.0,0.0,255.0
6880,228.80952,166.08333,0.0,0.0,255.0
6920,231.70476,162.72142,0.0,0.0,255.0
6960,234.6,159.35953,0.0,0.0,255.0
7000,237.49524,155.99762,0.0,0.0,255.0
7040,240.39047,152.63571,0.0,0.0,255.0
7080,243.28572,149.2738,0.0,0.0,255.0
7120,246.18095,145.9119,0.0,0.0,255.0
7160,243.28572,142.55,0.0,0.0,255.0
7200,240.39047,139.1881,0.0,0.0,255.0
7240,237.49524,135.82619,0.0,0.0,255.0
7280,234.6,132.46428,0.0,0.0,255.0
7320,231.70476,129.10239,0.0,255.0,0.0
7360,228.80952,125.74047,0.0,255.0,0.0
7400,225.91429,122.37857,0.0,255.0,0.0
7440,223.01904,119.01666,0.0,255.0,0.0
7480,220.12381,115.65476,0.0,255.0,0.0
7520,217.22858,112.292854,0.0,255.0,0.0
7560,214.33333,108.930954,0.0,255.0,0.0
7600,211.4381,105.569046,0.0,255.0,0.0
7640,208.54286,102.20714,0.0,255.0,0.0
7680,205.64761,98.84524,0.0,255.0,0.0
7720,202.75238,95.48333,0.0,255.0,0.0
7760,199.85715,92.12143,0.0,255.0,0.0
7800,196.9619,88.75952,0.0,255.0,0.0
7840,194.06667,85.39762,0.0,255.0,0.0
7880,191.17143,82.03571,0.0,255.0,0.0
7920,188.27618,78.673805,0.0,255.0,0.0
7960,185.38095,75.311905,0.0,255.0,0.0
8000,182.48572,71.95,0.0,255.0,0.0
8040,179.59047,68.5881,0.0,255.0,0.0
8080,176.69524,65.22619,0.0,255.0,0.0
8120,173.8,61.864285,0.0,255.0,0.0
8160,170.90475,58.50238,0.0,255.0,0.0
8200,168.00952,55.140476,0.0,255.0,0.0
8240,165.11429,51.778572,0.0,255.0,0.0
8280,162.21906,48.416668,0.0,255.0,0.0
8320,159.3238,45.05476,0.0,255.0,0.0
8360,156.42857,41.692856,0.0,255.0,0.0
8400,153.53334,38.33095,0.0,255.0,0.0
8440,150.63809,34.969048,0.0,255.0,0.0
8480,147.74286,31.607143,0.0,255.0,0.0
8520,144.84763,28.245237,0.0,255.0,0.0
8560,141.95238,24.883333,0.0,255.0,0.0
8600,139.05714,21.52143,0.0,255.0,0.0
8640,136.16191,18.159523,0.0,255.0,0.0
8680,133.26666,14.797619,0.0,255.0,0.0
8720,130.37143,11.435715,0.0,255.0,0.0
8760,127.47619,8.07381,255.0,0.0,0.0
8800,124.580956,11.435715,255.0,0.0,0.0
8840,121.685715,14.797619,255.0,0.0,0.0
8880,118.790474,18.159523,255.0,0.0,0.0
8920,115.89524,21.52143,255.0,0.0,0.0
